date,state,death
3/7/2021,AK,305
3/7/2021,AL,10148
3/7/2021,AR,5319
3/7/2021,AS,0
3/7/2021,AZ,16328
3/7/2021,CA,54124
3/7/2021,CO,5989
3/7/2021,CT,7704
3/7/2021,DC,1030
3/7/2021,DE,1473
3/7/2021,FL,32266
3/7/2021,GA,17906
3/7/2021,GU,133
3/7/2021,HI,445
3/7/2021,IA,5558
3/7/2021,ID,1879
3/7/2021,IL,23014
3/7/2021,IN,12737
3/7/2021,KS,4812
3/7/2021,KY,4819
3/7/2021,LA,9748
3/7/2021,MA,16417
3/7/2021,MD,7955
3/7/2021,ME,706
3/7/2021,MI,16658
3/7/2021,MN,6550
3/7/2021,MO,8161
3/7/2021,MP,2
3/7/2021,MS,6808
3/7/2021,MT,1381
3/7/2021,NC,11502
3/7/2021,ND,1478
3/7/2021,NE,2113
3/7/2021,NH,1184
3/7/2021,NJ,23574
3/7/2021,NM,3808
3/7/2021,NV,5037
3/7/2021,NY,39029
3/7/2021,OH,17656
3/7/2021,OK,4534
3/7/2021,OR,2296
3/7/2021,PA,24349
3/7/2021,PR,2062
3/7/2021,RI,2547
3/7/2021,SC,8754
3/7/2021,SD,1900
3/7/2021,TN,11543
3/7/2021,TX,44451
3/7/2021,UT,1976
3/7/2021,VA,9596
3/7/2021,VI,25
3/7/2021,VT,208
3/7/2021,WA,5041
3/7/2021,WI,7106
3/7/2021,WV,2325
3/7/2021,WY,682
3/6/2021,AK,305
3/6/2021,AL,10149
3/6/2021,AR,5297
3/6/2021,AS,0
3/6/2021,AZ,16323
3/6/2021,CA,53866
3/6/2021,CO,5986
3/6/2021,CT,7704
3/6/2021,DC,1030
3/6/2021,DE,1464
3/6/2021,FL,32200
3/6/2021,GA,17905
3/6/2021,GU,133
3/6/2021,HI,444
3/6/2021,IA,5552
3/6/2021,ID,1876
3/6/2021,IL,23002
3/6/2021,IN,12726
3/6/2021,KS,4812
3/6/2021,KY,4806
3/6/2021,LA,9716
3/6/2021,MA,16374
3/6/2021,MD,7941
3/6/2021,ME,704
3/6/2021,MI,16658
3/6/2021,MN,6546
3/6/2021,MO,8161
3/6/2021,MP,2
3/6/2021,MS,6805
3/6/2021,MT,1381
3/6/2021,NC,11502
3/6/2021,ND,1478
3/6/2021,NE,2113
3/6/2021,NH,1181
3/6/2021,NJ,23557
3/6/2021,NM,3796
3/6/2021,NV,5036
3/6/2021,NY,38970
3/6/2021,OH,17656
3/6/2021,OK,4534
3/6/2021,OR,2293
3/6/2021,PA,24317
3/6/2021,PR,2059
3/6/2021,RI,2547
3/6/2021,SC,8719
3/6/2021,SD,1898
3/6/2021,TN,11543
3/6/2021,TX,44367
3/6/2021,UT,1975
3/6/2021,VA,9519
3/6/2021,VI,25
3/6/2021,VT,208
3/6/2021,WA,5041
3/6/2021,WI,7102
3/6/2021,WV,2323
3/6/2021,WY,682
3/5/2021,AK,305
3/5/2021,AL,10122
3/5/2021,AR,5283
3/5/2021,AS,0
3/5/2021,AZ,16269
3/5/2021,CA,53448
3/5/2021,CO,5986
3/5/2021,CT,7704
3/5/2021,DC,1027
3/5/2021,DE,1453
3/5/2021,FL,32093
3/5/2021,GA,17815
3/5/2021,GU,133
3/5/2021,HI,443
3/5/2021,IA,5549
3/5/2021,ID,1876
3/5/2021,IL,22946
3/5/2021,IN,12697
3/5/2021,KS,4812
3/5/2021,KY,4754
3/5/2021,LA,9716
3/5/2021,MA,16322
3/5/2021,MD,7930
3/5/2021,ME,704
3/5/2021,MI,16601
3/5/2021,MN,6534
3/5/2021,MO,8158
3/5/2021,MP,2
3/5/2021,MS,6783
3/5/2021,MT,1379
3/5/2021,NC,11446
3/5/2021,ND,1478
3/5/2021,NE,2112
3/5/2021,NH,1178
3/5/2021,NJ,23521
3/5/2021,NM,3787
3/5/2021,NV,5020
3/5/2021,NY,38891
3/5/2021,OH,17656
3/5/2021,OK,4534
3/5/2021,OR,2284
3/5/2021,PA,24262
3/5/2021,PR,2056
3/5/2021,RI,2541
3/5/2021,SC,8699
3/5/2021,SD,1896
3/5/2021,TN,11534
3/5/2021,TX,44134
3/5/2021,UT,1970
3/5/2021,VA,9428
3/5/2021,VI,25
3/5/2021,VT,207
3/5/2021,WA,5032
3/5/2021,WI,7094
3/5/2021,WV,2318
3/5/2021,WY,682
3/4/2021,AK,303
3/4/2021,AL,10094
3/4/2021,AR,5273
3/4/2021,AS,0
3/4/2021,AZ,16185
3/4/2021,CA,53048
3/4/2021,CO,5974
3/4/2021,CT,7693
3/4/2021,DC,1024
3/4/2021,DE,1444
3/4/2021,FL,31955
3/4/2021,GA,17750
3/4/2021,GU,131
3/4/2021,HI,441
3/4/2021,IA,5536
3/4/2021,ID,1876
3/4/2021,IL,22902
3/4/2021,IN,12663
3/4/2021,KS,4816
3/4/2021,KY,4732
3/4/2021,LA,9686
3/4/2021,MA,16296
3/4/2021,MD,7922
3/4/2021,ME,705
3/4/2021,MI,16589
3/4/2021,MN,6521
3/4/2021,MO,8150
3/4/2021,MP,2
3/4/2021,MS,6764
3/4/2021,MT,1375
3/4/2021,NC,11399
3/4/2021,ND,1478
3/4/2021,NE,2092
